*HDR 0000063 remotecustsupport_CA_20120710.csv 20120710
"2842","LRWH459","L00",20100727,"40KWJHZ  ","M2N 6X4","649","11","N",,"20111831506   ","",,,,,,"ONTARIO",,"MOBILE",,20100308,"   "
"8919","L3A6515","L00",20100727,"40KWJH2  ","L0G 1W0","649","11","N",,"20111831507   ","",,,,,,"ONTARIO",,"MOBILE",,20100309,"   "
"6459","L3A6635","L00",20100727,"40KWJH5  ","K2G 1V8","649","NA","N",,"20111831508   ","",,,,,,"ONTARIO",,"MOBILE",,20100301,"   "
"7673","LVR5ALN","L00",20100727,"40KWJH7  ","H3B 4T9","649","11","N",,"20111831509   ","",,,,,,"QUEBEC",,"MOBILE",,20100301,"   "
"2081","R8000F0","L00",20100727,"40KWJJJ  ","M5M 1Y9","649","11","N",,"20111831510   ","",,,,,,"ONTARIO",,"MOBILE",,20100309,"   "
"7663","L3ACM9M","L00",20100727,"40KS535  ","L3R 9Z7","649","11","N",,"20121837211   ","",,,,,,"ONTARIO",,"MOBILE",,20101228,"   "
"6465","L3ABN0A","L00",20100727,"40KS536  ","B4C 1N3","649","NA","N",,"20121837212   ","",,,,,,"NOVA SCOTIA",,"MOBILE",,20101222,"   "
"4349","R847MNE","L00",20100727,"40KS538  ","A1B 4K7","649","11","N",,"20121837213   ","",,,,,,"NEWFOUNDLAND",,"MOBILE",,20101223,"   "
"2752","R9101X1","L00",20100727,"40KS539  ","H4A 1H1","649","11","N",,"20121837214   ","",,,,,,"QUEBEC",,"MOBILE",,20101222,"   "
"2009","L3AC260","L00",20100727,"40KS542  ","L3R 9Z7","649","11","N",,"20121837215   ","",,,,,,"ONTARIO",,"MOBILE",,20101222,"   "
"7663","L3ABE6H","L00",20100727,"40KS545  ","R3B 3M3","649","11","N",,"20121837216   ","",,,,,,"MANITOBA",,"MOBILE",,20101223,"   "
"7470","LV00172","L00",20100727,"40KS55W  ","V5X 1Z5","649","11","N",,"20121837217   ","",,,,,,"BRITISH COLUMBIA",,"MOBILE",,20101221,"   "
"3249","R93WYWB","L00",20100727,"40KS55Z  ","T5K 0C9","649","11","N",,"20121837218   ","",,,,,,"ALBERTA",,"MOBILE",,20101221,"   "
"7663","L3ABV4E","L00",20100727,"40KWKKZ  ","V5G 4X3","649","11","N",,"20111831862   ","",,,,,,"BRITISH COLUMBIA",,"MOBILE",,20100224,"   "
"2842","LRFVNAB","L00",20100727,"40KS67J  ","L4S 1P7","649","11","N",,"20121837571   ","",,,,,,"ONTARIO",,"MOBILE",,20101216,"   "
"3249","R96ZLNC","L00",20100727,"40KS67K  ","E3A 5L4","649","11","N",,"20121837572   ","",,,,,,"NEW BRUNSWICK",,"MOBILE",,20101223,"   "
"6474","R820PCN","L00",20100727,"40KS67L  ","L3R 4H8","649","11","N",,"20121837573   ","",,,,,,"ONTARIO",,"MOBILE",,20101221,"   "
"6474","R820PCN","L00",20100727,"40KS67L  ","L3R 4H8","649","11","N",,"20121837574   ","",,,,,,"ONTARIO",,"MOBILE",,20101220,"   "
"7417","R8GZCF8","L00",20100727,"40KS67W  ","M6P 3A4","649","11","N",,"20121837575   ","",,,,,,"ONTARIO",,"MOBILE",,20101219,"   "
"6474","L3AYL1C","L00",20100727,"40KS67Z  ","L7L 0A7","649","11","N",,"20121837576   ","",,,,,,"ONTARIO",,"MOBILE",,20101217,"   "
"9960","MJETDF4","L00",20100727,"40KS676  ","L7A 1C1","649","13","N",,"20121837577   ","",,,,,,"ONTARIO",,"DESKTOP",,20101217,"   "
"2847","LRKAV69","L00",20100727,"40KS677  ","L8W 3J4","649","11","N",,"20121837578   ","",,,,,,"ONTARIO",,"MOBILE",,20101217,"   "
"2847","LRKAV69","L00",20100727,"40KS677  ","L8W 3J4","649","11","N",,"20121837579   ","",,,,,,"ONTARIO",,"MOBILE",,20101216,"   "
"7664","L3AAV2L","L00",20100727,"40KS68C  ","L4W 5A4","649","11","N",,"20121837580   ","",,,,,,"ONTARIO",,"MOBILE",,20101217,"   "
"0761","L3H5910","L00",20100727,"40KS68D  ","J3Y 3J2","649","NA","N",,"20121837581   ","",,,,,,"QUEBEC",,"MOBILE",,20101217,"   "
"2007","L32C7E2","L00",20100727,"40KS68F  ","M5J 2T2","649","NA","N",,"20121837582   ","",,,,,,"ONTARIO",,"MOBILE",,20101217,"   "
"2089","R836P99","L00",20100727,"40KS68G  ","L4B 3S5","649","11","N",,"20121837583   ","",,,,,,"ONTARIO",,"MOBILE",,20101217,"   "
"6476","L3AAA9K","L00",20100727,"40KS68H  ","K2P 1V1","649","11","N",,"20121837584   ","",,,,,,"ONTARIO",,"MOBILE",,20101217,"   "
"7661","L3L3384","L00",20100727,"40KS68L  ","L5R 4H1","649","NA","N",,"20121837585   ","",,,,,,"ONTARIO",,"MOBILE",,20101217,"   "
"7661","L3L3384","L00",20100727,"40KS68L  ","L5R 4H1","649","NA","N",,"20121837586   ","",,,,,,"ONTARIO",,"MOBILE",,20101216,"   "
